date,price
09/29/17,"170,87"
10/02/17,"169,47"
10/03/17,"169,96"
10/04/17,"168,42"
10/05/17,"171,24"
10/06/17,"172,23"
10/09/17,"172,5"
10/10/17,"171,59"
10/11/17,"172,74"
10/12/17,"172,55"
10/13/17,"173,74"
10/16/17,"174,52"
10/17/17,"176,11"
10/18/17,"176,03"
10/19/17,"174,56"
10/20/17,"174,98"
10/23/17,"171,27"
10/24/17,"171,8"
10/25/17,"170,6"
10/26/17,"170,63"
10/27/17,"177,88"
10/30/17,"179,87"
10/31/17,"180,06"
11/01/17,"182,66"
11/02/17,"178,92"
11/03/17,"178,92"
11/06/17,"180,17"
11/07/17,"180,25"
11/08/17,"179,56"
11/09/17,"179,3"
11/10/17,"178,46"
11/13/17,"178,77"
11/14/17,"178,07"
11/15/17,"177,95"
11/16/17,"179,59"
11/17/17,179
11/20/17,"178,74"
11/21/17,"181,86"
11/22/17,"180,87"
11/23/17,"180,87"
11/24/17,"182,78"
11/27/17,"183,03"
11/28/17,"182,42"
11/29/17,"175,13"
11/30/17,"177,18"
12/01/17,"175,1"
12/04/17,"171,47"
12/05/17,"172,83"
12/06/17,"176,06"
12/07/17,"180,14"
12/08/17,179
12/11/17,"179,04"
12/12/17,"176,96"
12/13/17,"178,3"
12/14/17,"178,39"
12/15/17,"180,18"
12/18/17,"180,82"
12/19/17,"179,51"
12/20/17,"177,89"
12/21/17,"177,45"
12/22/17,"177,2"
12/25/17,"177,2"
12/26/17,"175,99"
12/27/17,"177,62"
12/28/17,"177,92"
12/29/17,"176,46"
