date,price
09/29/17,"145,08"
10/02/17,"146,66"
10/03/17,"146,78"
10/04/17,"146,48"
10/05/17,"146,72"
10/06/17,"146,48"
10/09/17,"147,39"
10/10/17,"148,5"
10/11/17,"147,62"
10/12/17,"147,03"
10/13/17,"147,1"
10/16/17,"146,83"
10/17/17,"146,54"
10/18/17,"159,53"
10/19/17,"160,9"
10/20/17,"162,07"
10/23/17,"159,55"
10/24/17,"155,88"
10/25/17,"153,5"
10/26/17,"153,6"
10/27/17,"153,68"
10/30/17,"154,36"
10/31/17,"154,06"
11/01/17,"154,03"
11/02/17,"153,35"
11/03/17,"151,58"
11/06/17,"150,84"
11/07/17,"151,35"
11/08/17,"151,57"
11/09/17,"150,3"
11/10/17,"149,16"
11/13/17,"148,4"
11/14/17,"148,89"
11/15/17,"147,1"
11/16/17,"149,12"
11/17/17,"148,97"
11/20/17,"150,51"
11/21/17,"151,95"
11/22/17,"151,77"
11/23/17,"151,77"
11/24/17,"151,84"
11/27/17,"151,98"
11/28/17,"152,47"
11/29/17,"153,55"
11/30/17,"153,97"
12/01/17,"154,76"
12/04/17,"156,46"
12/05/17,"155,35"
12/06/17,"154,1"
12/07/17,"153,57"
12/08/17,"154,81"
12/11/17,"155,41"
12/12/17,"156,74"
12/13/17,"153,91"
12/14/17,154
12/15/17,"152,5"
12/18/17,"153,33"
12/19/17,"153,23"
12/20/17,"152,95"
12/21/17,"151,5"
12/22/17,"152,5"
12/25/17,"152,5"
12/26/17,"152,83"
12/27/17,"153,13"
12/28/17,"154,04"
12/29/17,"153,42"
